Date;Open;High;Low;Close;Adj Close;Volume
02/01/2013;60990;62887;60990;62550;62550;3739800
03/01/2013;62555;63473;62341;63312;63312;3355800
04/01/2013;63314;63314;62415;62523;62523;6233800
07/01/2013;62523;62699;61639;61933;61933;3985800
08/01/2013;61933;62265;61081;61128;61128;3840600
09/01/2013;61129;61812;61103;61579;61579;3236400
10/01/2013;61578;61947;61156;61678;61678;4100600
11/01/2013;61662;61683;61198;61497;61497;3161000
14/01/2013;61511;62285;61511;62081;62081;3481400
15/01/2013;62079;62151;61695;61728;61728;3819200
16/01/2013;61726;61787;61241;61787;61787;2789200
17/01/2013;61806;62309;61683;62194;62194;3382000
18/01/2013;62197;62395;61822;61956;61956;3495200
21/01/2013;61962;62052;61804;61900;61900;2143400
22/01/2013;61904;61995;61534;61692;61692;3475000
23/01/2013;61692;61969;61543;61966;61966;3209000
24/01/2013;61966;62249;60838;61170;61170;3605200
28/01/2013;61178;61313;59921;60027;60027;3426800
29/01/2013;60027;60428;59758;60406;60406;3192600
30/01/2013;60405;60405;59305;59337;59337;4661200
31/01/2013;59344;59771;59114;59761;59761;4749400
01/02/2013;59764;60496;59742;60351;60351;3412400
04/02/2013;60350;60350;59256;59576;59576;3347800
05/02/2013;59576;59974;59132;59445;59445;4429600
06/02/2013;59442;59582;58588;58951;58951;4410400
07/02/2013;58936;59435;58116;58372;58372;4071600
08/02/2013;58374;58638;58025;58498;58498;3152400
13/02/2013;58495;58754;58252;58406;58406;2803800
14/02/2013;58406;58406;57751;58077;58077;2385200
15/02/2013;58076;58352;57802;57903;57903;3519200
18/02/2013;57906;57929;57420;57614;57614;2697200
19/02/2013;57619;58061;57234;57314;57314;3921000
20/02/2013;57312;57569;56034;56178;56178;4950200
21/02/2013;56153;56227;55430;56155;56155;4915800
22/02/2013;56159;56742;56107;56697;56697;5113800
25/02/2013;56698;57157;56419;56618;56618;3965400
26/02/2013;56616;57007;56047;56949;56949;4510600
27/02/2013;56948;57402;56685;57274;57274;5034000
28/02/2013;57273;57798;56925;57424;57424;4441800
01/03/2013;57422;57422;56526;56884;56884;3889600
04/03/2013;56878;56878;56067;56499;56499;4033800
05/03/2013;56508;57227;55951;55951;55951;4261000
06/03/2013;55953;58150;55953;57940;57940;5806000
07/03/2013;57940;59472;57940;58847;58847;6338200
08/03/2013;58842;59031;58129;58433;58433;4129200
11/03/2013;58440;58547;57800;58545;58545;4129000
12/03/2013;58542;58709;58113;58209;58209;3805000
13/03/2013;58204;58411;57286;57386;57386;4536800
14/03/2013;57386;57850;56722;57281;57281;4581200
15/03/2013;57275;57532;56805;56869;56869;5182400
18/03/2013;56869;57152;56139;56973;56973;3741000
19/03/2013;56973;57038;56100;56361;56361;3828800
20/03/2013;56361;56396;55831;56030;56030;4179200
21/03/2013;56025;56044;55382;55577;55577;4368400
22/03/2013;55577;55893;55098;55243;55243;3744400
25/03/2013;55250;55450;54648;54873;54873;3849400
26/03/2013;54879;55763;54879;55671;55671;3755400
27/03/2013;55677;56178;55130;56034;56034;4052600
28/03/2013;56035;56374;55874;56352;56352;4373800
01/04/2013;56348;56348;55897;55902;55902;2755200
02/04/2013;55901;56257;54809;54889;54889;3588600
03/04/2013;54888;55574;54740;55563;55563;4480400
04/04/2013;55563;55579;54432;54648;54648;4574000
05/04/2013;54646;55227;53794;55051;55051;5975800
08/04/2013;55049;55136;54333;55092;55092;5504200
09/04/2013;55101;56305;55101;55912;55912;5186200
10/04/2013;55913;56976;55913;56187;56187;5388600
11/04/2013;56190;56284;55174;55401;55401;3836800
12/04/2013;55398;55531;54458;54963;54963;4805800
15/04/2013;54952;54952;52950;52950;52950;4709400
16/04/2013;52953;54095;52953;53991;53991;4353800
17/04/2013;53984;53984;52540;52882;52882;7413000
18/04/2013;52887;53474;52392;53166;53166;4554200
19/04/2013;53169;54018;53169;53929;53929;3733000
22/04/2013;53927;54298;53420;54298;54298;4174800
23/04/2013;54301;55282;54165;54885;54885;5365600
